movieId,title,genres,genre_list,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,num_ratings,avg_rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,"['Adventure', 'Animation', 'Children', 'Comedy', 'Fantasy']",0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,215,3.92
2,Jumanji (1995),Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110,3.43
3,Grumpier Old Men (1995),Comedy|Romance,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,52,3.26
4,Waiting to Exhale (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,2.36
5,Father of the Bride Part II (1995),Comedy,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,3.07
6,Heat (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,102,3.95
7,Sabrina (1995),Comedy|Romance,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,3.19
8,Tom and Huck (1995),Adventure|Children,"['Adventure', 'Children']",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2.88
9,Sudden Death (1995),Action,['Action'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.12
10,GoldenEye (1995),Action|Adventure|Thriller,"['Action', 'Adventure', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,132,3.5
11,"American President, The (1995)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,70,3.67
12,Dracula: Dead and Loving It (1995),Comedy|Horror,"['Comedy', 'Horror']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,2.42
13,Balto (1995),Adventure|Animation|Children,"['Adventure', 'Animation', 'Children']",0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.12
14,Nixon (1995),Drama,['Drama'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,3.83
15,Cutthroat Island (1995),Action|Adventure|Romance,"['Action', 'Adventure', 'Romance']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,3.0
16,Casino (1995),Crime|Drama,"['Crime', 'Drama']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82,3.93
17,Sense and Sensibility (1995),Drama|Romance,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,67,3.78
18,Four Rooms (1995),Comedy,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.7
19,Ace Ventura: When Nature Calls (1995),Comedy,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2.73
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,"['Action', 'Comedy', 'Crime', 'Drama', 'Thriller']",0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15,2.5
21,Get Shorty (1995),Comedy|Crime|Thriller,"['Comedy', 'Crime', 'Thriller']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,89,3.49
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,"['Crime', 'Drama', 'Horror', 'Mystery', 'Thriller']",0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,36,3.22
23,Assassins (1995),Action|Crime|Thriller,"['Action', 'Crime', 'Thriller']",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,3.12
24,Powder (1995),Drama|Sci-Fi,"['Drama', 'Sci-Fi']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,3.12
25,Leaving Las Vegas (1995),Drama|Romance,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,76,3.62
26,Othello (1995),Drama,['Drama'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3.5
27,Now and Then (1995),Children|Drama,"['Children', 'Drama']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3.33
28,Persuasion (1995),Drama|Romance,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,4.23
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,38,4.01
31,Dangerous Minds (1995),Drama,['Drama'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,3.18
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,"['Mystery', 'Sci-Fi', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,177,3.98
34,Babe (1995),Children|Drama,"['Children', 'Drama']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,128,3.65
36,Dead Man Walking (1995),Crime|Drama,"['Crime', 'Drama']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,67,3.84
39,Clueless (1995),Comedy|Romance,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,104,3.29
41,Richard III (1995),Drama|War,"['Drama', 'War']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,3.7
42,Dead Presidents (1995),Action|Crime|Drama,"['Action', 'Crime', 'Drama']",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3.0
43,Restoration (1995),Drama,['Drama'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3.19
44,Mortal Kombat (1995),Action|Adventure|Fantasy,"['Action', 'Adventure', 'Fantasy']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,2.54
45,To Die For (1995),Comedy|Drama|Thriller,"['Comedy', 'Drama', 'Thriller']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32,3.31
46,How to Make an American Quilt (1995),Drama|Romance,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,3.07
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,"['Mystery', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,203,3.98
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,"['Animation', 'Children', 'Drama', 'Musical', 'Romance']",0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,68,3.15
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,"['Crime', 'Mystery', 'Thriller']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,204,4.24
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,28,3.46
57,Home for the Holidays (1995),Drama,['Drama'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3.06
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,"['Comedy', 'Drama', 'Romance']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,37,4.03
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,"['Adventure', 'Children', 'Fantasy']",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,3.24
61,Eye for an Eye (1996),Drama|Thriller,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,3.75
62,Mr. Holland's Opus (1995),Drama,['Drama'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,3.71
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,"['Comedy', 'Crime']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.71
64,Two if by Sea (1996),Comedy|Romance,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2.2
65,Bio-Dome (1996),Comedy,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2.53
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,"['Action', 'Sci-Fi', 'Thriller']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,2.5
68,French Twist (Gazon maudit) (1995),Comedy|Romance,"['Comedy', 'Romance']",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3.4
69,Friday (1995),Comedy,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.78
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,"['Action', 'Comedy', 'Horror', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55,3.51
71,Fair Game (1995),Action,['Action'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7
72,Kicking and Screaming (1995),Comedy|Drama,"['Comedy', 'Drama']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3.21
73,"Misérables, Les (1995)",Drama|War,"['Drama', 'War']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,3.46
74,Bed of Roses (1996),Drama|Romance,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,4.0
75,Big Bully (1996),Comedy|Drama,"['Comedy', 'Drama']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2.2
76,Screamers (1995),Action|Sci-Fi|Thriller,"['Action', 'Sci-Fi', 'Thriller']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15,3.4
79,"Juror, The (1996)",Drama|Thriller,"['Drama', 'Thriller']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,2.76
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,"['Crime', 'Drama', 'Romance']",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14,3.11
82,Antonia's Line (Antonia) (1995),Comedy|Drama,"['Comedy', 'Drama']",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3.88
85,Angels and Insects (1995),Drama|Romance,"['Drama', 'Romance']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,3.86
86,White Squall (1996),Action|Adventure|Drama,"['Action', 'Adventure', 'Drama']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3.97
87,Dunston Checks In (1996),Children|Comedy,"['Children', 'Comedy']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.5
88,Black Sheep (1996),Comedy,['Comedy'],0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.16
89,Nick of Time (1995),Action|Thriller,"['Action', 'Thriller']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3.25
92,Mary Reilly (1996),Drama|Horror|Thriller,"['Drama', 'Horror', 'Thriller']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8,2.62
